x,y,z
0.001722,0,2.6400000000000001e-05
0.001722,0,2.97e-05
0.001722,0,3.3000000000000003e-05
0.0017834999999999999,0,0
0.0017834999999999999,0,3.3000000000000002e-06
0.0017834999999999999,0,6.6000000000000003e-06
0.0017834999999999999,0,9.9000000000000001e-06
0.0017834999999999999,0,1.3200000000000001e-05
0.0017834999999999999,0,1.6500000000000001e-05
0.0017834999999999999,0,1.98e-05
0.0017834999999999999,0,2.3099999999999999e-05
0.0017834999999999999,0,2.6400000000000001e-05
0.0017834999999999999,0,2.97e-05
0.0017834999999999999,0,3.3000000000000003e-05
0.0018450000000000001,0,0
0.0018450000000000001,0,3.3000000000000002e-06
0.0018450000000000001,0,6.6000000000000003e-06
0.0018450000000000001,0,9.9000000000000001e-06
0.0018450000000000001,0,1.3200000000000001e-05
0.0018450000000000001,0,1.6500000000000001e-05
0.0018450000000000001,0,1.98e-05
0.0018450000000000001,0,2.3099999999999999e-05
0.0018450000000000001,0,2.6400000000000001e-05
0.0018450000000000001,0,2.97e-05
0.0018450000000000001,0,3.3000000000000003e-05
0.0019065,0,0
0.0019065,0,3.3000000000000002e-06
0.0019065,0,6.6000000000000003e-06
0.0019065,0,9.9000000000000001e-06
0.0019065,0,1.3200000000000001e-05
0.0019065,0,1.6500000000000001e-05
0.0019065,0,1.98e-05
0.0019065,0,2.3099999999999999e-05
0.0019065,0,2.6400000000000001e-05
0.0019065,0,2.97e-05
0.0019065,0,3.3000000000000003e-05
0.0019680000000000001,0,0
0.0019680000000000001,0,3.3000000000000002e-06
0.0019680000000000001,0,6.6000000000000003e-06
0.0019680000000000001,0,9.9000000000000001e-06
0.0019680000000000001,0,1.3200000000000001e-05
0.0019680000000000001,0,1.6500000000000001e-05
0.0019680000000000001,0,1.98e-05
0.0019680000000000001,0,2.3099999999999999e-05
0.0019680000000000001,0,2.6400000000000001e-05
0.0019680000000000001,0,2.97e-05
0.0019680000000000001,0,3.3000000000000003e-05
0.0020295000000000001,0,0
0.0020295000000000001,0,3.3000000000000002e-06
0.0020295000000000001,0,6.6000000000000003e-06
0.0020295000000000001,0,9.9000000000000001e-06
0.0020295000000000001,0,1.3200000000000001e-05
0.0020295000000000001,0,1.6500000000000001e-05
0.0020295000000000001,0,1.98e-05
0.0020295000000000001,0,2.3099999999999999e-05
0.0020295000000000001,0,2.6400000000000001e-05
0.0020295000000000001,0,2.97e-05
0.0020295000000000001,0,3.3000000000000003e-05
0.002091,0,0
0.002091,0,3.3000000000000002e-06
0.002091,0,6.6000000000000003e-06
0.002091,0,9.9000000000000001e-06
0.002091,0,1.3200000000000001e-05
0.002091,0,1.6500000000000001e-05
0.002091,0,1.98e-05
0.002091,0,2.3099999999999999e-05
0.002091,0,2.6400000000000001e-05
0.002091,0,2.97e-05
0.002091,0,3.3000000000000003e-05
0.0021524999999999999,0,0
